no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,,,,,,
66,Why sit in the ER all day when you can come visit NOWmed Walk-In Urgent Care? Our average wait time is 30 minutes o…,FALSE,0,NA,3/5/19 20:18,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",NOWmedUC,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
68,3 additional #flu deaths reported in Allegheny County,FALSE,1,NA,3/5/19 20:05,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",AmeshAA,2,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
69,"@autism_vaccine @thereal_truther @CryptoNLtrader @doctorsensation \None of those things are in vaccines\"" LOL. You…""",FALSE,0,autism_vaccine,3/5/19 20:01,TRUE,1.10E+18,1.10E+18,1.10E+18,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
70,"#FluFact: Even when well-managed, diabetes can make the immune system less able to fight #flu infection, and flu il…",FALSE,7,NA,3/5/19 20:00,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",CDCFlu,11,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
71,#GeorgiaState researcher Dr. Baozhong Wang is fighting #influenza #TheStateWay. He's received a $3.86 million feder…,FALSE,1,NA,3/5/19 19:50,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",JennyGiarratano,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
72,"@autism_vaccine @thereal_truther @CryptoNLtrader @doctorsensation So you, a pro vaccine advocate, will agree that c…",FALSE,0,autism_vaccine,3/5/19 19:48,TRUE,1.10E+18,1.10E+18,1.10E+18,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
73,"Feeling like you have the #flu? It is worth knowing the signs of #Qfever, particularly during hot and dry conditions",FALSE,1,NA,3/5/19 19:42,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Qfever_Group,2,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
74,"@autism_vaccine @thereal_truther @CryptoNLtrader @doctorsensation Oh, I forgot to mention that the MMR vaccine was…",FALSE,5,CoercedTaxSlave,3/5/19 19:42,TRUE,1.10E+18,1.10E+18,32517621,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,5,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
75,Flu cases are on the rise in Central Ohio. Parents: Here are 4 things you should know if you think your child has t…,FALSE,2,NA,3/5/19 19:30,TRUE,NA,1.10E+18,NA,"<a href=\https://www.sprinklr.com\"" rel=\""nofollow\"">Sprinklr</a>""",nationwidekids,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
76,#CDC Admits New #Flu #Shot #Protects #Less Than 1 in 4,FALSE,0,NA,3/5/19 19:28,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",klonokid,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
